name,aot,pure.aot,stack.aot,ckpt-every-dirty.aot,ckpt-loop.aot,ckpt-loop-dirty.aot
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,126.773417,126.773417,111.224648,111.224648,125.51943,176.883593
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,164.023086,164.023086,141.576971,141.576971,175.662874,214.396746
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,58.961162,58.961162,53.635583,53.635583,74.959302,92.060076
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,73.261637,73.261637,65.867055,65.867055,85.590317,92.218915
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,265.241022,265.241022,252.992736,252.992736,346.5179,402.470816
OMP_NUM_THREADS=4 tc.aot -g20 -n1,33.379436,33.379436,22.881941,22.881941,29.802467,31.455855
OMP_NUM_THREADS=4 bt.aot,64.155481,58.686974,61.958932,61.958932,65.110386,66.105423
OMP_NUM_THREADS=4 cg.aot,25.85421,25.105423,24.849638,24.849638,42.418741,37.374964
OMP_NUM_THREADS=4 ep.aot,0.002989,0.002345,0.002602,0.002602,0.003826,0.003245
OMP_NUM_THREADS=4 ft.aot,19.260273,17.809207,18.533498,18.533498,33.952135,38.676475
OMP_NUM_THREADS=4 lu.aot,0.050605,0.025683,0.041169,0.041169,0.073535,0.044437
OMP_NUM_THREADS=4 mg.aot,22.488045,21.701445,25.265718,25.265718,28.610367,36.209763
OMP_NUM_THREADS=4 sp.aot,26.960556,18.718879,20.583702,20.583702,30.466118,23.716131
OMP_NUM_THREADS=4 redis.aot,23.254312,10.631727,18.406652,18.406652,22.844819,25.737818
a=b hdastar.aot maze-6404.txt 8,12.132523,6.893947,6.198094,6.198094,11.371654,10.849636
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,10.211041,9.733969,9.978159,9.978159,10.95014,9.705135
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,256.066532,256.066532,225.468698,225.468698,293.835124,369.470685
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,66.176791,66.176791,62.940816,62.940816,77.67994,93.085728
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,129.286867,129.286867,107.594127,107.594127,136.001582,173.065607
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,163.435515,163.435515,132.312464,132.312464,178.793023,207.040057
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,62.713107,62.713107,57.503783,57.503783,68.871821,81.680782
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,70.181327,70.181327,64.754161,64.754161,75.879953,93.594157
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,277.183132,277.183132,253.650146,253.650146,329.85879,430.978065
OMP_NUM_THREADS=4 tc.aot -g20 -n1,33.56007,33.56007,24.092439,24.092439,29.576322,30.83976
OMP_NUM_THREADS=4 bt.aot,60.039598,52.201994,53.478338,53.478338,70.353293,74.848716
OMP_NUM_THREADS=4 cg.aot,24.602588,21.0747,23.155512,23.155512,46.517888,40.113963
OMP_NUM_THREADS=4 ep.aot,0.005703,0.00244,0.00237,0.00237,0.002199,0.001959
OMP_NUM_THREADS=4 ft.aot,18.464476,16.78426,20.239912,20.239912,32.275391,34.767951
OMP_NUM_THREADS=4 lu.aot,0.067899,0.031804,0.029221,0.029221,0.04819,0.044805
OMP_NUM_THREADS=4 mg.aot,21.843722,23.275039,19.774591,19.774591,37.005966,33.2798
OMP_NUM_THREADS=4 sp.aot,33.229369,25.507441,24.300644,24.300644,23.134424,31.434913
OMP_NUM_THREADS=4 redis.aot,22.928657,10.607199,18.12376,18.12376,24.180952,25.74947
a=b hdastar.aot maze-6404.txt 8,11.396952,3.20205,7.946684,7.946684,8.238406,8.196208
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,10.576445,9.987949,10.147242,10.147242,11.202188,10.67788
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,250.33076,250.33076,229.354492,229.354492,304.401343,372.299041
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,71.986166,71.986166,54.920037,54.920037,80.551576,93.928005
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,129.519476,129.519476,105.634257,105.634257,137.870708,175.903874
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,157.795599,157.795599,141.799119,141.799119,175.437564,212.710306
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,60.061285,60.061285,53.264729,53.264729,71.728823,79.425696
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,67.248053,67.248053,65.516582,65.516582,82.038471,93.869952
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,234.995989,234.995989,221.049833,221.049833,278.21499,309.926351
OMP_NUM_THREADS=4 tc.aot -g20 -n1,31.864133,31.864133,24.026022,24.026022,29.599846,32.70325
OMP_NUM_THREADS=4 bt.aot,73.188099,65.755987,50.695754,50.695754,75.894983,68.379084
OMP_NUM_THREADS=4 cg.aot,23.729701,19.875611,25.460301,25.460301,40.46568,35.30915
OMP_NUM_THREADS=4 ep.aot,0.002055,0.00297,0.002319,0.002319,0.010522,0.002769
OMP_NUM_THREADS=4 ft.aot,21.728819,16.847616,20.438296,20.438296,32.667428,33.918371
OMP_NUM_THREADS=4 lu.aot,0.036554,0.043269,0.038107,0.038107,0.038174,0.043912
OMP_NUM_THREADS=4 mg.aot,24.722335,19.408619,19.692295,19.692295,28.86707,34.2663
OMP_NUM_THREADS=4 sp.aot,27.106845,24.672942,22.994674,22.994674,26.336311,28.794859
OMP_NUM_THREADS=4 redis.aot,24.799415,11.456758,18.389991,18.389991,21.839316,23.447284
a=b hdastar.aot maze-6404.txt 8,11.791569,8.640311,8.630685,8.630685,10.94215,9.315662
